customer_id,customer_name,region,last_purchase_date,order_count,total_revenue,total_profit,recency_days,frequency,monetary,r_score,f_score,m_score,rfm_score,segment
118,Customer_0118,North Africa,2024-09-07,5,2545.55,216.58999999999997,115,5,2545.55,2,5,5,255,At Risk
154,Customer_0154,North Africa,2024-08-18,4,2184.75,602.68,135,4,2184.75,2,5,5,255,At Risk
259,Customer_0259,Southern Europe,2024-07-26,5,2038.77,261.69,158,5,2038.77,2,5,5,255,At Risk
190,Customer_0190,Southern Europe,2024-04-21,4,2024.68,771.74,254,4,2024.68,1,5,5,155,At Risk
96,Customer_0096,Central Europe,2024-06-03,3,2004.71,591.4399999999999,211,3,2004.71,2,4,5,245,At Risk
143,Customer_0143,Southern Europe,2024-08-15,3,1934.1,514.41,138,3,1934.1,2,4,5,245,At Risk
208,Customer_0208,North Africa,2024-07-06,3,1905.3600000000001,419.57,178,3,1905.36,2,4,5,245,At Risk
285,Customer_0285,Southern Europe,2024-09-07,4,1887.91,646.0,115,4,1887.91,2,5,5,255,At Risk
164,Customer_0164,Central Europe,2024-03-17,3,1871.33,204.90000000000003,289,3,1871.33,1,4,5,145,At Risk
122,Customer_0122,Central Europe,2024-08-14,3,1769.92,513.11,139,3,1769.92,2,4,5,245,At Risk
131,Customer_0131,Southern Europe,2024-09-11,3,1702.7,710.66,111,3,1702.7,2,4,5,245,At Risk
229,Customer_0229,Western Europe,2024-06-09,5,1657.99,547.14,205,5,1657.99,2,5,4,254,At Risk
75,Customer_0075,Southern Europe,2024-06-29,3,1543.16,318.87999999999994,185,3,1543.16,2,3,4,234,At Risk
243,Customer_0243,Western Europe,2024-09-01,3,1510.5,410.44000000000005,121,3,1510.5,2,4,4,244,At Risk
273,Customer_0273,Central Europe,2024-07-13,4,1502.64,195.17,171,4,1502.64,2,5,4,254,At Risk
69,Customer_0069,Central Europe,2024-03-30,5,1499.0,200.98999999999998,276,5,1499.0,1,5,4,154,At Risk
6,Customer_0006,Southern Europe,2024-06-22,3,1482.94,349.57,192,3,1482.94,2,3,4,234,At Risk
157,Customer_0157,North Africa,2024-07-17,3,1461.79,459.43,167,3,1461.79,2,4,4,244,At Risk
247,Customer_0247,Southern Europe,2024-07-16,5,1390.73,327.67,168,5,1390.73,2,5,4,254,At Risk
214,Customer_0214,Southern Europe,2024-02-10,3,1365.54,126.31000000000003,325,3,1365.54,1,4,4,144,At Risk
187,Customer_0187,North Africa,2024-05-31,5,1296.6599999999999,49.39,214,5,1296.66,1,5,4,154,At Risk
239,Customer_0239,Southern Europe,2024-08-12,4,1289.61,66.19000000000001,141,4,1289.61,2,5,4,254,At Risk
207,Customer_0207,Central Europe,2024-01-14,2,1222.84,183.43,352,2,1222.84,1,3,4,134,At Risk
258,Customer_0258,North Africa,2024-05-11,2,1209.27,307.67,234,2,1209.27,1,3,4,134,At Risk
147,Customer_0147,Central Europe,2024-08-24,4,1203.24,307.37,129,4,1203.24,2,5,4,254,At Risk
223,Customer_0223,Southern Europe,2024-09-07,4,1162.18,189.84,115,4,1162.18,2,5,4,254,At Risk
84,Customer_0084,Western Europe,2024-08-11,3,1153.46,383.22999999999996,142,3,1153.46,2,4,4,244,At Risk
100,Customer_0100,Southern Europe,2024-04-23,3,1147.68,201.01,252,3,1147.68,1,4,4,144,At Risk
197,Customer_0197,Southern Europe,2024-06-08,2,1142.46,243.70000000000002,206,2,1142.46,2,3,4,234,At Risk
129,Customer_0129,Western Europe,2024-09-12,3,1081.68,44.73999999999999,110,3,1081.68,2,4,3,243,At Risk
296,Customer_0296,Western Europe,2024-05-26,2,991.92,492.04,219,2,991.92,1,3,3,133,At Risk
215,Customer_0215,Central Europe,2024-05-31,4,941.52,-202.64000000000001,214,4,941.52,2,5,3,253,At Risk
216,Customer_0216,Southern Europe,2024-04-24,2,926.6899999999999,467.7,251,2,926.69,1,3,3,133,At Risk
283,Customer_0283,Southern Europe,2024-07-01,2,902.64,135.04,183,2,902.64,2,3,3,233,At Risk
251,Customer_0251,North Africa,2024-06-20,2,869.7,-73.23000000000002,194,2,869.7,2,3,3,233,At Risk
