customer_id,customer_name,gender,age,city,state,region,country,signup_date
1,Customer_0001,Male,27,Girona,Catalonia,Southern Europe,Spain,2023-05-15
2,Customer_0002,Non-binary,34,Caserta,Campania,Southern Europe,Italy,2023-02-10
3,Customer_0003,Female,41,Madrid,Madrid,Southern Europe,Spain,2023-10-23
4,Customer_0004,Male,48,Nice,Provence-Alpes-Cote d'Azur,Western Europe,France,2023-01-03
5,Customer_0005,Non-binary,55,Caserta,Campania,Southern Europe,Italy,2024-02-05
6,Customer_0006,Female,21,Rome,Lazio,Southern Europe,Italy,2023-07-13
7,Customer_0007,Male,28,Girona,Catalonia,Southern Europe,Spain,2024-04-07
8,Customer_0008,Non-binary,35,Annecy,Auvergne-Rhone-Alpes,Western Europe,France,2023-04-20
9,Customer_0009,Female,42,Casablanca,Casablanca-Settat,North Africa,Morocco,2023-08-09
10,Customer_0010,Male,49,Bergamo,Lombardy,Southern Europe,Italy,2024-01-05
11,Customer_0011,Non-binary,56,Essaouira,Marrakesh-Safi,North Africa,Morocco,2024-01-03
12,Customer_0012,Female,22,Paris,Ile-de-France,Western Europe,France,2024-03-11
13,Customer_0013,Male,29,Bergamo,Lombardy,Southern Europe,Italy,2024-02-10
14,Customer_0014,Non-binary,36,Caserta,Campania,Southern Europe,Italy,2023-01-04
15,Customer_0015,Female,43,Casablanca,Casablanca-Settat,North Africa,Morocco,2023-09-01
16,Customer_0016,Male,50,Potsdam,Berlin,Central Europe,Germany,2024-01-25
17,Customer_0017,Non-binary,57,Essaouira,Marrakesh-Safi,North Africa,Morocco,2023-06-15
18,Customer_0018,Female,23,Casablanca,Casablanca-Settat,North Africa,Morocco,2023-01-26
19,Customer_0019,Male,30,Potsdam,Berlin,Central Europe,Germany,2024-01-30
20,Customer_0020,Non-binary,37,Annecy,Auvergne-Rhone-Alpes,Western Europe,France,2024-04-18
21,Customer_0021,Female,44,Paris,Ile-de-France,Western Europe,France,2023-01-17
22,Customer_0022,Male,51,Bergamo,Lombardy,Southern Europe,Italy,2023-08-04
