product_id,product_name,category,sub_category,cost_price,selling_price
1,Product_1,Body,Body Lotion,45.33,62.1
2,Product_2,Skin,Moisturizer,41.33,60.78
3,Product_3,Hair,Hair Oil,39.17,62.17
4,Product_4,Body,Deodorant,38.68,66.7
5,Product_5,Skin,Cleanser,55.75,71.47
6,Product_6,Body,Body Lotion,45.17,61.87
7,Product_7,Hair,Conditioner,45.58,67.03
8,Product_8,Body,Hand Care,46.7,74.13
9,Product_9,Makeup,Eyeshadow,32.35,55.77
10,Product_10,Hair,Styling,54.82,70.28
11,Product_11,Makeup,Blush,47.72,65.36
12,Product_12,Skin,Moisturizer,43.44,63.89
13,Product_13,Skin,Sunscreen,45.91,72.87
14,Product_14,Body,Deodorant,41.48,71.51
15,Product_15,Makeup,Eyeshadow,53.52,68.61
16,Product_16,Makeup,Concealer,53.25,72.94
17,Product_17,Hair,Scalp Care,44.55,65.52
18,Product_18,Makeup,Foundation,42.32,67.17
19,Product_19,Makeup,Lipstick,34.26,59.07
20,Product_20,Hair,Hair Mask,49.59,63.58
21,Product_21,Hair,Hair Oil,48.44,66.36
22,Product_22,Makeup,Concealer,42.73,62.83
23,Product_23,Body,Hand Care,42.34,67.21
24,Product_24,Hair,Shampoo,37.64,64.89
25,Product_25,Hair,Conditioner,53.57,68.67
26,Product_26,Makeup,Mascara,43.78,59.98
27,Product_27,Makeup,Eyeshadow,43.97,64.66
28,Product_28,Hair,Styling,40.29,63.95
29,Product_29,Makeup,Blush,32.9,56.72
30,Product_30,Hair,Shampoo,47.66,61.11
31,Product_31,Body,Body Lotion,51.68,70.79
32,Product_32,Body,Scrub,40.0,58.83
33,Product_33,Hair,Hair Oil,42.98,68.23
34,Product_34,Hair,Styling,33.37,57.54
35,Product_35,Skin,Cleanser,49.68,63.69
36,Product_36,Skin,Serum,54.07,74.06
37,Product_37,Makeup,Lipstick,46.03,67.7
38,Product_38,Makeup,Mascara,42.59,67.6
39,Product_39,Hair,Hair Oil,35.79,61.7
40,Product_40,Hair,Styling,50.02,64.13
41,Product_41,Skin,Serum,42.47,58.18
42,Product_42,Skin,Moisturizer,39.97,58.78
43,Product_43,Hair,Conditioner,41.29,65.55
44,Product_44,Body,Deodorant,36.66,63.21
45,Product_45,Body,Body Wash,48.06,61.62
46,Product_46,Makeup,Concealer,44.44,60.88
47,Product_47,Hair,Scalp Care,45.42,66.79
48,Product_48,Hair,Shampoo,39.98,63.46
49,Product_49,Makeup,Lipstick,34.67,59.78
50,Product_50,Skin,Cleanser,55.0,70.52
